Price,ID_Ber,Bed,Bath,m²,ID_Type,ID_Location_Number,Type,Region,Location_,Ber,Region_ID
220000,14,1,1,47,3,46,Apartment,North,Dublin 17,ber/C1,1
395000,7,3,3,94,6,41,Terrace,South,Dublin 24,ber/C2,2
480000,1,4,1,86,6,12,Terrace,North,Dublin 3,ber/D2,1
635000,10,3,2,124,1,12,Semi-D,North,Dublin 3,ber/D1,1
350000,14,2,2,68,3,14,Apartment,South,Dublin 18,ber/C1,2
390000,7,2,1,64,3,28,Apartment,North,Dublin 11,ber/C2,1
375000,7,2,2,86,3,14,Apartment,South,Dublin 18,ber/C2,2
390000,7,4,2,92,1,41,Semi-D,South,Dublin 24,ber/C2,2
185000,11,1,1,38,3,9,Apartment,North,Dublin 15,ber/E1,1
260000,1,3,1,79,1,9,Semi-D,North,Dublin 15,ber/D2,1
775000,15,3,2,108,1,7,Semi-D,South,Dublin 14,ber/E2,2
599950,2,5,2,176,1,69,Semi-D,Co. Dublin,Co. Dublin - Balrothery,ber/B3,3
525000,14,3,1,97,1,27,Semi-D,North,Dublin 13,ber/C1,1
325000,13,3,1,81,6,13,Terrace,South,Dublin 12,ber/F,2
325000,1,2,1,52,6,53,Terrace,North,Dublin 1,ber/D2,1
320000,7,2,2,100,5,49,End of Terrace,South,Dublin 10,ber/C2,2
595000,11,3,2,115,1,10,Semi-D,South,Dublin 8,ber/E1,2
265000,14,1,1,48,3,10,Apartment,South,Dublin 8,ber/C1,2
895000,14,3,3,160,6,14,Terrace,South,Dublin 18,ber/C1,2
225000,10,1,1,38,3,10,Apartment,South,Dublin 8,ber/D1,2
295000,7,1,1,61,3,52,Apartment,Co. Dublin,Co. Dublin - Portmarnock,ber/C2,3
290000,2,1,1,44,3,14,Apartment,South,Dublin 18,ber/B3,2
895000,14,5,4,260,2,15,Detached,North,Dublin 5,ber/C1,1
295000,4,2,2,76,3,28,Apartment,North,Dublin 11,ber/C3,1
1150000,12,5,2,243,1,60,Semi-D,South,Dublin 6W,ber/A3,2
420000,7,3,3,101,1,20,Semi-D,Co. Dublin,Co. Dublin - Swords,ber/C2,3
325000,1,1,1,51,6,10,Terrace,South,Dublin 8,ber/D2,2
1450000,2,4,2,168,1,8,Semi-D,South,Dublin 4,ber/B3,2
695000,14,4,3,120,1,14,Semi-D,South,Dublin 18,ber/C1,2
550000,2,4,3,126,1,29,Semi-D,Co. Dublin,Co. Dublin - Lucan,ber/B3,3
975000,3,3,3,142,6,8,Terrace,South,Dublin 4,ber/B2,2
1495000,6,4,3,165,1,2,Semi-D,Co. Dublin,Co. Dublin - Mount Merrion,ber/A2,3
675000,17,3,2,97,2,70,Detached,Co. Dublin,Co Dublin - Swords,ber/BER_PENDING,3
350000,14,3,3,103,6,54,Terrace,Co. Dublin,Co. Dublin - Lusk,ber/C1,3
595000,3,3,1,85,1,34,Semi-D,Co. Dublin,Co Dublin - Dun Laoghaire,ber/B2,3
1250000,5,8,6,298,6,25,Terrace,Co. Dublin,Co. Dublin - Sandycove,ber/SI_666,3
625000,10,3,1,74,6,24,Terrace,Co. Dublin,Co. Dublin - Dalkey,ber/D1,3
375000,11,2,1,90,6,30,Terrace,North,Dublin 7,ber/E1,1
425000,1,1,1,66,3,4,Apartment,Co. Dublin,Co. Dublin - Blackrock,ber/D2,3
325000,13,3,2,95,6,10,Terrace,South,Dublin 8,ber/F,2
425000,15,3,1,82,5,5,End of Terrace,South,Dublin 16,ber/E2,2
395000,5,3,4,122,2,35,Detached,Co. Dublin,Co. Dublin - Balbriggan,ber/SI_666,3
265000,4,1,1,53,3,26,Apartment,North,Dublin 9,ber/C3,1
350000,2,2,1,66,3,14,Apartment,South,Dublin 18,ber/B3,2
450000,6,3,4,139,6,42,Terrace,Co. Dublin,Co. Dublin - Saggart,ber/A2,3
250000,4,1,1,51,3,21,Apartment,South,Dublin 6,ber/C3,2
695000,3,4,2,118,6,8,Terrace,South,Dublin 4,ber/B2,2
499000,2,2,1,52,6,61,Terrace,Co. Dublin,Co. Dublin - Glasthule,ber/B3,3
275000,4,2,2,51,3,41,Apartment,South,Dublin 24,ber/C3,2
1295000,8,3,3,138,1,8,Semi-D,South,Dublin 4,ber/G,2
289000,7,2,3,78,6,28,Terrace,North,Dublin 11,ber/C2,1
280000,2,3,1,70,6,49,Terrace,South,Dublin 10,ber/B3,2
275000,7,1,1,41,3,10,Apartment,South,Dublin 8,ber/C2,2
369000,3,3,1,113,7,51,Duplex,Co. Dublin,Co. Dublin - Adamstown,ber/B2,3
475000,7,2,1,78,6,10,Terrace,South,Dublin 8,ber/C2,2
195000,11,3,1,75,6,71,Terrace,Co. Dublin,Co. Dublin - Damastown,ber/E1,3
395000,15,4,2,138,2,41,Detached,South,Dublin 24,ber/E2,2
400000,9,2,2,72,3,14,Apartment,South,Dublin 18,ber/B1,2
525000,15,2,1,60,4,8,Bungalow,South,Dublin 4,ber/E2,2
395000,14,3,3,94,5,9,End of Terrace,North,Dublin 15,ber/C1,1
425000,5,1,1,78,3,8,Apartment,South,Dublin 4,ber/SI_666,2
550000,10,3,2,85,6,21,Terrace,South,Dublin 6,ber/D1,2
495000,2,2,2,72,3,3,Apartment,South,Dublin 2,ber/B3,2
395000,4,1,1,49,3,3,Apartment,South,Dublin 2,ber/C3,2
495000,4,2,1,68,6,8,Terrace,South,Dublin 4,ber/C3,2
490000,6,3,2,103,6,20,Terrace,Co. Dublin,Co. Dublin - Swords,ber/A2,3
245000,14,2,2,80,3,28,Apartment,North,Dublin 11,ber/C1,1
1295000,11,5,3,167,6,8,Terrace,South,Dublin 4,ber/E1,2
580000,4,3,2,98,6,30,Terrace,North,Dublin 7,ber/C3,1
375000,10,2,1,65,3,8,Apartment,South,Dublin 4,ber/D1,2
295000,4,1,1,49,3,14,Apartment,South,Dublin 18,ber/C3,2
320000,10,3,2,86,1,45,Semi-D,South,Dublin 22,ber/D1,2
379500,10,3,3,95,1,35,Semi-D,Co. Dublin,Co. Dublin - Balbriggan,ber/D1,3
1200000,2,3,4,160,3,8,Apartment,South,Dublin 4,ber/B3,2
1450000,10,3,2,125,1,8,Semi-D,South,Dublin 4,ber/D1,2
450000,8,3,1,76,6,10,Terrace,South,Dublin 8,ber/G,2
295000,14,2,2,62,3,27,Apartment,North,Dublin 13,ber/C1,1
295000,14,2,2,65,3,28,Apartment,North,Dublin 11,ber/C1,1
440000,10,2,1,76,6,15,Terrace,North,Dublin 5,ber/D1,1
245000,14,2,2,71,3,43,Apartment,Co. Dublin,Co. Dublin - Citywest,ber/C1,3
599000,6,4,3,143,6,29,Terrace,Co. Dublin,Co. Dublin - Lucan,ber/A2,3
975000,4,3,2,98,6,21,Terrace,South,Dublin 6,ber/C3,2
425000,2,2,2,100,3,9,Apartment,North,Dublin 15,ber/B3,1
1395000,1,3,2,132,1,21,Semi-D,South,Dublin 6,ber/D2,2
950000,5,3,1,116,6,21,Terrace,South,Dublin 6,ber/SI_666,2
425000,14,3,1,94,1,15,Semi-D,North,Dublin 5,ber/C1,1
375000,7,1,1,50,3,3,Apartment,South,Dublin 2,ber/C2,2
695000,14,4,2,131,2,14,Detached,South,Dublin 18,ber/C1,2
575000,11,3,1,102,1,30,Semi-D,North,Dublin 7,ber/E1,1
320000,14,2,2,75,6,20,Terrace,Co. Dublin,Co. Dublin - Swords,ber/C1,3
975000,14,3,2,109,6,8,Terrace,South,Dublin 4,ber/C1,2
375000,8,2,1,58,6,26,Terrace,North,Dublin 9,ber/G,1
595000,15,3,2,107,5,30,End of Terrace,North,Dublin 7,ber/E2,1
385000,7,2,2,70,3,14,Apartment,South,Dublin 18,ber/C2,2
495000,1,3,1,91,1,34,Semi-D,Co. Dublin,Co Dublin - Dun Laoghaire,ber/D2,3
675000,4,3,2,98,5,7,End of Terrace,South,Dublin 14,ber/C3,2
285000,4,2,2,82,7,41,Duplex,South,Dublin 24,ber/C3,2
285000,7,2,2,78,7,41,Duplex,South,Dublin 24,ber/C2,2
375000,7,1,1,43,3,21,Apartment,South,Dublin 6,ber/C2,2
1150000,2,5,3,200,6,8,Terrace,South,Dublin 4,ber/B3,2
470000,4,4,3,116,1,70,Semi-D,Co. Dublin,Co Dublin - Swords,ber/C3,3
675000,1,4,2,117,1,7,Semi-D,South,Dublin 14,ber/D2,2
795000,10,3,2,93,3,72,Apartment,Co. Dublin,Co Dublin - Dalkey,ber/D1,3
625000,14,3,1,81,6,7,Terrace,South,Dublin 14,ber/C1,2
375000,7,3,3,94,1,9,Semi-D,North,Dublin 15,ber/C2,1
735000,1,4,3,150,2,5,Detached,South,Dublin 16,ber/D2,2
975000,3,3,3,240,3,5,Apartment,South,Dublin 16,ber/B2,2
419950,4,3,2,110,6,27,Terrace,North,Dublin 13,ber/C3,1
345000,10,2,1,71,3,10,Apartment,South,Dublin 8,ber/D1,2
650000,14,3,3,157,1,5,Semi-D,South,Dublin 16,ber/C1,2
240000,4,2,1,80,3,45,Apartment,South,Dublin 22,ber/C3,2
695000,13,3,1,90,1,30,Semi-D,North,Dublin 7,ber/F,1
390000,4,3,2,104,5,40,End of Terrace,Co. Dublin,Co. Dublin - Rush,ber/C3,3
625000,1,4,2,113,1,60,Semi-D,South,Dublin 6W,ber/D2,2
285000,4,2,2,68,3,27,Apartment,North,Dublin 13,ber/C3,1
2000000,4,4,3,221,2,24,Detached,Co. Dublin,Co. Dublin - Dalkey,ber/C3,3
695000,10,5,2,133,1,5,Semi-D,South,Dublin 16,ber/D1,2
1475000,1,5,2,210,2,59,Detached,Co. Dublin,Co Dublin - Blackrock,ber/D2,3
550000,2,3,3,138,7,14,Duplex,South,Dublin 18,ber/B3,2
695000,14,4,3,97,7,8,Duplex,South,Dublin 4,ber/C1,2
925000,11,5,2,2223,2,7,Detached,South,Dublin 14,ber/E1,2
250000,14,3,2,70,3,9,Apartment,North,Dublin 15,ber/C1,1
724950,1,4,3,140,6,30,Terrace,North,Dublin 7,ber/D2,1
350000,14,2,3,75,6,20,Terrace,Co. Dublin,Co. Dublin - Swords,ber/C1,3
475000,15,3,2,90,1,36,Semi-D,Co. Dublin,Co. Dublin - Skerries,ber/E2,3
575000,13,3,1,104,1,36,Semi-D,Co. Dublin,Co. Dublin - Skerries,ber/F,3
595000,14,3,3,92,5,36,End of Terrace,Co. Dublin,Co. Dublin - Skerries,ber/C1,3
