Price,ID_Ber,Bed,Bath,m²,ID_Type,ID_Location_Number,Type,Region,Location_,Ber,Region_ID
725000,11,3,2,128,1,12,Semi-D,North,Dublin 3,ber/E1,1
320000,4,1,1,54,3,3,Apartment,South,Dublin 2,ber/C3,2
369000,14,4,3,135,7,45,Duplex,South,Dublin 22,ber/C1,2
545000,1,3,1,85,1,9,Semi-D,North,Dublin 15,ber/D2,1
375000,11,2,1,55,3,5,Apartment,South,Dublin 16,ber/E1,2
350000,14,2,2,69,3,12,Apartment,North,Dublin 3,ber/C1,1
415000,3,2,1,70,3,53,Apartment,North,Dublin 1,ber/B2,1
320000,4,2,1,65,3,41,Apartment,South,Dublin 24,ber/C3,2
775000,2,2,2,91,3,8,Apartment,South,Dublin 4,ber/B3,2
625000,6,3,3,105,6,10,Terrace,South,Dublin 8,ber/A2,2
330000,2,2,2,72,3,14,Apartment,South,Dublin 18,ber/B3,2
